Bottom,Height,Top,Mass_cup,Mass_lid,Mass_packaging
2.74055,3.94055,3.24055,0.0067986,0.0059313,0.006943
2.74055,3.94055,3.34055,0.0069035,0.0060269,0.0072914
2.74055,3.94055,3.44055,0.0070094,0.0061224,0.0076464
2.74055,3.94055,3.54055,0.0071166,0.006218,0.008008
2.74055,3.94055,3.64055,0.0072249,0.0063136,0.0083763
2.74055,3.94055,3.74055,0.0073346,0.0064092,0.0087513
2.74055,3.84055,2.74055,0.0061534,0.0054534,0.005301
2.74055,3.84055,2.84055,0.0062508,0.0055489,0.0056161
2.74055,3.84055,2.94055,0.0063491,0.0056444,0.0059379
2.74055,3.84055,3.04055,0.0064484,0.0057399,0.0062663
2.74055,3.84055,3.14055,0.0065487,0.0058354,0.0066013
2.74055,3.84055,3.24055,0.0066501,0.0059309,0.006943
2.74055,3.84055,3.34055,0.0067526,0.0060264,0.0072914
2.74055,3.84055,3.44055,0.0068562,0.0061219,0.0076464
2.74055,3.84055,3.54055,0.006961,0.0062174,0.008008
2.74055,3.84055,3.64055,0.0070671,0.0063129,0.0083763
2.74055,3.84055,3.74055,0.0071745,0.0064084,0.0087513
2.74055,3.74055,2.74055,0.0060171,0.0054534,0.005301
2.74055,3.74055,2.84055,0.006112,0.0055488,0.0056161
2.74055,3.74055,2.94055,0.0062079,0.0056442,0.0059379
2.74055,3.74055,3.04055,0.0063047,0.0057397,0.0062663
2.74055,3.74055,3.14055,0.0064026,0.0058351,0.0066013
2.74055,3.74055,3.24055,0.0065016,0.0059305,0.006943
2.74055,3.74055,3.34055,0.0066017,0.0060259,0.0072914
2.74055,3.74055,3.44055,0.006703,0.0061213,0.0076464
2.74055,3.74055,3.54055,0.0068055,0.0062168,0.008008
2.74055,3.74055,3.64055,0.0069093,0.0063122,0.0083763
2.74055,3.74055,3.74055,0.0070145,0.0064076,0.0087513
2.74055,3.64055,2.74055,0.0058808,0.0054534,0.005301
2.74055,3.64055,2.84055,0.0059733,0.0055487,0.0056161
2.74055,3.64055,2.94055,0.0060667,0.0056441,0.0059379
2.74055,3.64055,3.04055,0.0061611,0.0057394,0.0062663
2.74055,3.64055,3.14055,0.0062565,0.0058347,0.0066013
2.74055,3.64055,3.24055,0.0063531,0.0059301,0.006943
2.74055,3.64055,3.34055,0.0064509,0.0060254,0.0072914
2.74055,3.64055,3.44055,0.0065499,0.0061208,0.0076464
2.74055,3.64055,3.54055,0.0066501,0.0062161,0.008008
2.74055,3.64055,3.64055,0.0067516,0.0063114,0.0083763
2.74055,3.64055,3.74055,0.0068545,0.0064068,0.0087513
2.64055,4.34055,2.64055,0.0065499,0.0052564,0.0049926
2.64055,4.34055,2.74055,0.0066598,0.0053523,0.005301
2.64055,4.34055,2.84055,0.0067705,0.0054481,0.0056161
2.64055,4.34055,2.94055,0.0068821,0.0055439,0.0059379
2.64055,4.34055,3.04055,0.0069944,0.0056398,0.0062663
2.64055,4.34055,3.14055,0.0071077,0.0057356,0.0066013
2.64055,4.34055,3.24055,0.007222,0.0058315,0.006943
2.64055,4.34055,3.34055,0.0073372,0.0059273,0.0072914
2.64055,4.34055,3.44055,0.0074535,0.0060232,0.0076464
2.64055,4.34055,3.54055,0.0075708,0.006119,0.008008
